lr,rv,,,,,,,,,,,,,,,,,,,,,
-0.334700645,0.169838028,,,,,,,,,,,,,,,,,,,,,
0.255356552,0.223947583,,,,,,,,,,,,,,,,,,,,,
0.439274255,0.525996491,,,,,,,,,,,,,,,,,,,,,
0.043163205,0.010920726,,,,,,,,,,,,,,,,,,,,,
-0.024871437,0.094879537,,,,,,,,,,,,,,,,,,,,,
-0.01097466,0.100652186,,,,,,,,,,,,,,,,,,,,,
-0.495845749,0.14371691,,,,,,,,,,,,,,,,,,,,,
0.116847769,0.163792526,,,,,,,,,,,,,,,,,,,,,
-0.563448164,0.11387506,,,,,,,,,,,,,,,,,,,,,
-0.087933531,0.003781327,,,,,,,,,,,,,,,,,,,,,
0.139623041,0.089207078,,,,,,,,,,,,,,,,,,,,,
0.0833853,0.103742521,,,,,,,,,,,,,,,,,,,,,
-0.098151005,0.108219748,,,,,,,,,,,,,,,,,,,,,
1.059788636,0.215062736,,,,,,,,,,,,,,,,,,,,,
-0.105986802,0.243302139,,,,,,,,,,,,,,,,,,,,,
0.095027858,0.002433698,,,,,,,,,,,,,,,,,,,,,
-0.092102577,0.129332316,,,,,,,,,,,,,,,,,,,,,
-0.147101362,0.117156605,,,,,,,,,,,,,,,,,,,,,
0.024898028,0.224739017,,,,,,,,,,,,,,,,,,,,,
-0.734897556,0.175273739,,,,,,,,,,,,,,,,,,,,,
-0.552514155,0.192330671,,,,,,,,,,,,,,,,,,,,,
0.034111977,0.004875878,,,,,,,,,,,,,,,,,,,,,
0.261385789,0.154991854,,,,,,,,,,,,,,,,,,,,,
-0.049558963,0.133537581,,,,,,,,,,,,,,,,,,,,,
0.131610098,0.136311164,,,,,,,,,,,,,,,,,,,,,
0.427644115,0.342424113,,,,,,,,,,,,,,,,,,,,,
0.312202972,0.189986859,,,,,,,,,,,,,,,,,,,,,
-0.114483662,0.0208733,,,,,,,,,,,,,,,,,,,,,
0.19439774,0.058511228,,,,,,,,,,,,,,,,,,,,,
